PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Virgin Islands,2020,49,X,0.433651,X,X,X,X,X,X,5,4,1153
States,New York City,2020,49,X,0.9422,X,X,X,X,X,X,624,35,66228
States,Alabama,2020,50,X,1.52792,X,X,X,X,X,X,638,95,41756
States,Alaska,2020,50,X,0.915605,X,X,X,X,X,X,23,13,2512
States,Arizona,2020,50,X,1.51662,X,X,X,X,X,X,235,33,15495
States,Arkansas,2020,50,X,1.12172,X,X,X,X,X,X,175,56,15601
States,California,2020,50,X,1.93499,X,X,X,X,X,X,1352,117,69871
States,Colorado,2020,50,X,0.849315,X,X,X,X,X,X,217,69,25550
States,Connecticut,2020,50,X,1.50344,X,X,X,X,X,X,537,77,35718
States,Delaware,2020,50,X,0.813008,X,X,X,X,X,X,77,19,9471
States,District of Columbia,2020,50,X,2.93153,X,X,X,X,X,X,152,4,5185
States,Florida,2020,50,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,50,X,2.36603,X,X,X,X,X,X,1586,93,67032
States,Hawaii,2020,50,X,0.892414,X,X,X,X,X,X,18,18,2017
States,Idaho,2020,50,X,1.22654,X,X,X,X,X,X,115,34,9376
States,Illinois,2020,50,X,0.987136,X,X,X,X,X,X,663,192,67164
States,Indiana,2020,50,X,1.28963,X,X,X,X,X,X,580,108,44974
States,Iowa,2020,50,X,0.956697,X,X,X,X,X,X,38,14,3972
States,Kansas,2020,50,X,1.30124,X,X,X,X,X,X,133,26,10221
States,Kentucky,2020,50,X,1.1935,X,X,X,X,X,X,348,92,29158
States,Louisiana,2020,50,X,1.08135,X,X,X,X,X,X,390,91,36066
States,Maine,2020,50,X,0.453317,X,X,X,X,X,X,52,52,11471
States,Maryland,2020,50,X,1.52261,X,X,X,X,X,X,554,65,36385
States,Massachusetts,2020,50,X,1.04216,X,X,X,X,X,X,590,93,56613
States,Michigan,2020,50,X,0.375495,X,X,X,X,X,X,73,68,19441
States,Minnesota,2020,50,X,0.251529,X,X,X,X,X,X,88,80,34986
States,Mississippi,2020,50,X,2.60094,X,X,X,X,X,X,248,29,9535
States,Missouri,2020,50,X,1.28939,X,X,X,X,X,X,311,49,24120
States,Montana,2020,50,X,0.852946,X,X,X,X,X,X,54,31,6331
States,Nebraska,2020,50,X,0.937035,X,X,X,X,X,X,107,76,11419
States,Nevada,2020,50,X,0.898242,X,X,X,X,X,X,70,26,7793
States,New Hampshire,2020,50,X,0.113636,X,X,X,X,X,X,2,11,1760
States,New Jersey,2020,50,X,2.82342,X,X,X,X,X,X,665,34,23553
States,New Mexico,2020,50,X,1.74688,X,X,X,X,X,X,657,46,37610
States,New York,2020,50,X,1.64306,X,X,X,X,X,X,747,125,45464
States,North Carolina,2020,50,X,1.21888,X,X,X,X,X,X,968,137,79417
States,North Dakota,2020,50,X,1.05455,X,X,X,X,X,X,29,12,2750
States,Ohio,2020,50,X,1.29419,X,X,X,X,X,X,164,38,12672
States,Oklahoma,2020,50,X,3.26365,X,X,X,X,X,X,281,23,8610
States,Oregon,2020,50,X,1.33668,X,X,X,X,X,X,421,90,31496
States,Pennsylvania,2020,50,X,1.61543,X,X,X,X,X,X,847,102,52432
States,Rhode Island,2020,50,X,0.65941,X,X,X,X,X,X,63,29,9554
States,South Carolina,2020,50,X,2.2147,X,X,X,X,X,X,229,25,10340
States,South Dakota,2020,50,X,0.652629,X,X,X,X,X,X,53,32,8121
States,Tennessee,2020,50,X,1.79852,X,X,X,X,X,X,597,108,33194
States,Texas,2020,50,X,1.675,X,X,X,X,X,X,834,80,49791
States,Utah,2020,50,X,1.0087,X,X,X,X,X,X,189,51,18737
States,Vermont,2020,50,X,0.586601,X,X,X,X,X,X,19,14,3239
States,Virginia,2020,50,X,1.4173,X,X,X,X,X,X,1270,164,89607
States,Washington,2020,50,X,0.770967,X,X,X,X,X,X,123,49,15954
States,West Virginia,2020,50,X,1.02048,X,X,X,X,X,X,138,51,13523
States,Wisconsin,2020,50,X,0.698201,X,X,X,X,X,X,111,36,15898
States,Wyoming,2020,50,X,1.07618,X,X,X,X,X,X,38,15,3531
States,Commonwealth of the Northern Mariana Islands,2020,50,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2020,50,X,6.20012,X,X,X,X,X,X,101,6,1629
States,Virgin Islands,2020,50,X,0.621118,X,X,X,X,X,X,5,3,805
States,New York City,2020,50,X,1.1021,X,X,X,X,X,X,704,34,63878
States,Alabama,2020,51,X,1.46654,X,X,X,X,X,X,592,94,40367
States,Alaska,2020,51,X,0.630798,X,X,X,X,X,X,17,13,2695
States,Arizona,2020,51,X,1.45493,X,X,X,X,X,X,205,32,14090
States,Arkansas,2020,51,X,1.05314,X,X,X,X,X,X,154,55,14623
States,California,2020,51,X,2.00166,X,X,X,X,X,X,1278,117,63847
States,Colorado,2020,51,X,0.736511,X,X,X,X,X,X,178,66,24168
States,Connecticut,2020,51,X,1.11529,X,X,X,X,X,X,377,74,33803
States,Delaware,2020,51,X,0.778037,X,X,X,X,X,X,70,18,8997
States,District of Columbia,2020,51,X,2.92363,X,X,X,X,X,X,147,4,5028
States,Florida,2020,51,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,51,X,2.57525,X,X,X,X,X,X,1724,94,66945
States,Hawaii,2020,51,X,0.435493,X,X,X,X,X,X,8,18,1837
States,Idaho,2020,51,X,1.11063,X,X,X,X,X,X,103,33,9274
States,Illinois,2020,51,X,0.901844,X,X,X,X,X,X,577,189,63980
States,Indiana,2020,51,X,1.05791,X,X,X,X,X,X,462,109,43671
States,Iowa,2020,51,X,1.3224,X,X,X,X,X,X,50,15,3781
States,Kansas,2020,51,X,1.39145,X,X,X,X,X,X,136,25,9774
States,Kentucky,2020,51,X,1.1384,X,X,X,X,X,X,311,92,27319
States,Louisiana,2020,51,X,1.0095,X,X,X,X,X,X,354,91,35067
States,Maine,2020,51,X,0.464165,X,X,X,X,X,X,59,52,12711
States,Maryland,2020,51,X,1.32322,X,X,X,X,X,X,464,63,35066
States,Massachusetts,2020,51,X,1.05308,X,X,X,X,X,X,548,92,52038
States,Michigan,2020,51,X,0.324594,X,X,X,X,X,X,39,63,12015
States,Minnesota,2020,51,X,0.141628,X,X,X,X,X,X,52,77,36716
States,Mississippi,2020,51,X,2.72123,X,X,X,X,X,X,266,25,9775
States,Missouri,2020,51,X,1.18162,X,X,X,X,X,X,278,49,23527
States,Montana,2020,51,X,0.749601,X,X,X,X,X,X,47,31,6270
States,Nebraska,2020,51,X,0.796776,X,X,X,X,X,X,87,75,10919
States,Nevada,2020,51,X,1.70358,X,X,X,X,X,X,140,26,8218
States,New Hampshire,2020,51,X,0.371287,X,X,X,X,X,X,6,11,1616
States,New Jersey,2020,51,X,2.67231,X,X,X,X,X,X,594,33,22228
States,New Mexico,2020,51,X,1.52005,X,X,X,X,X,X,527,46,34670
States,New York,2020,51,X,1.43254,X,X,X,X,X,X,614,126,42861
States,North Carolina,2020,51,X,1.19539,X,X,X,X,X,X,906,134,75791
States,North Dakota,2020,51,X,1.35432,X,X,X,X,X,X,37,13,2732
States,Ohio,2020,51,X,1.44523,X,X,X,X,X,X,176,38,12178
States,Oklahoma,2020,51,X,1.89852,X,X,X,X,X,X,110,21,5794
States,Oregon,2020,51,X,1.14734,X,X,X,X,X,X,355,89,30941
States,Pennsylvania,2020,51,X,1.28202,X,X,X,X,X,X,621,100,48439
States,Rhode Island,2020,51,X,0.595171,X,X,X,X,X,X,53,29,8905
States,South Carolina,2020,51,X,2.30138,X,X,X,X,X,X,230,25,9994
States,South Dakota,2020,51,X,0.448113,X,X,X,X,X,X,38,32,8480
States,Tennessee,2020,51,X,1.78376,X,X,X,X,X,X,554,105,31058
States,Texas,2020,51,X,1.7002,X,X,X,X,X,X,638,65,37525
States,Utah,2020,51,X,1.0194,X,X,X,X,X,X,186,51,18246
States,Vermont,2020,51,X,1.14555,X,X,X,X,X,X,34,14,2968
States,Virginia,2020,51,X,1.49753,X,X,X,X,X,X,1365,164,91150
States,Washington,2020,51,X,0.895278,X,X,X,X,X,X,142,47,15861
States,West Virginia,2020,51,X,0.885603,X,X,X,X,X,X,109,50,12308
States,Wisconsin,2020,51,X,0.603338,X,X,X,X,X,X,90,30,14917
States,Wyoming,2020,51,X,0.79929,X,X,X,X,X,X,27,15,3378
States,Commonwealth of the Northern Mariana Islands,2020,51,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2020,51,X,7.73973,X,X,X,X,X,X,113,6,1460
States,Virgin Islands,2020,51,X,0.665188,X,X,X,X,X,X,6,3,902
States,New York City,2020,51,X,1.07107,X,X,X,X,X,X,667,33,62274
States,Alabama,2020,52,X,1.53283,X,X,X,X,X,X,532,93,34707
States,Alaska,2020,52,X,0.876578,X,X,X,X,X,X,25,13,2852
States,Arizona,2020,52,X,1.68928,X,X,X,X,X,X,188,33,11129
States,Arkansas,2020,52,X,1.31956,X,X,X,X,X,X,184,55,13944
States,California,2020,52,X,2.21095,X,X,X,X,X,X,1085,114,49074
States,Colorado,2020,52,X,0.691322,X,X,X,X,X,X,143,66,20685
States,Connecticut,2020,52,X,1.16131,X,X,X,X,X,X,393,73,33841
States,Delaware,2020,52,X,0.706714,X,X,X,X,X,X,60,18,8490
States,District of Columbia,2020,52,X,2.64188,X,X,X,X,X,X,108,4,4088
States,Florida,2020,52,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,52,X,2.44879,X,X,X,X,X,X,1486,93,60683
States,Hawaii,2020,52,X,0.523903,X,X,X,X,X,X,8,18,1527
States,Idaho,2020,52,X,0.897364,X,X,X,X,X,X,80,33,8915
States,Illinois,2020,52,X,0.819472,X,X,X,X,X,X,470,193,57354
States,Indiana,2020,52,X,1.07999,X,X,X,X,X,X,430,107,39815
States,Iowa,2020,52,X,0.810701,X,X,X,X,X,X,20,14,2467
States,Kansas,2020,52,X,1.13754,X,X,X,X,X,X,99,24,8703
States,Kentucky,2020,52,X,1.12485,X,X,X,X,X,X,282,88,25070
States,Louisiana,2020,52,X,1.04312,X,X,X,X,X,X,358,91,34320
States,Maine,2020,52,X,0.542114,X,X,X,X,X,X,54,52,9961
States,Maryland,2020,52,X,1.36731,X,X,X,X,X,X,463,69,33862
States,Massachusetts,2020,52,X,1.098,X,X,X,X,X,X,552,92,50273
States,Michigan,2020,52,X,0.37813,X,X,X,X,X,X,37,64,9785
States,Minnesota,2020,52,X,0.129844,X,X,X,X,X,X,32,77,24645
States,Mississippi,2020,52,X,3.39677,X,X,X,X,X,X,282,29,8302
States,Missouri,2020,52,X,1.34874,X,X,X,X,X,X,307,49,22762
States,Montana,2020,52,X,0.926262,X,X,X,X,X,X,51,31,5506
States,Nebraska,2020,52,X,1.1231,X,X,X,X,X,X,102,75,9082
States,Nevada,2020,52,X,2.15174,X,X,X,X,X,X,135,26,6274
States,New Hampshire,2020,52,X,0.261097,X,X,X,X,X,X,2,9,766
States,New Jersey,2020,52,X,2.73098,X,X,X,X,X,X,569,33,20835
States,New Mexico,2020,52,X,1.59217,X,X,X,X,X,X,504,46,31655
States,New York,2020,52,X,1.50536,X,X,X,X,X,X,638,125,42382
States,North Carolina,2020,52,X,1.22095,X,X,X,X,X,X,827,134,67734
States,North Dakota,2020,52,X,1.02157,X,X,X,X,X,X,27,12,2643
States,Ohio,2020,52,X,1.60152,X,X,X,X,X,X,143,36,8929
States,Oklahoma,2020,52,X,2.17865,X,X,X,X,X,X,130,21,5967
States,Oregon,2020,52,X,1.07365,X,X,X,X,X,X,306,88,28501
States,Pennsylvania,2020,52,X,1.25709,X,X,X,X,X,X,605,101,48127
States,Rhode Island,2020,52,X,0.543881,X,X,X,X,X,X,44,27,8090
States,South Carolina,2020,52,X,2.52236,X,X,X,X,X,X,220,25,8722
States,South Dakota,2020,52,X,0.631939,X,X,X,X,X,X,37,32,5855
States,Tennessee,2020,52,X,1.7492,X,X,X,X,X,X,485,108,27727
States,Texas,2020,52,X,1.77187,X,X,X,X,X,X,722,75,40748
States,Utah,2020,52,X,1.11191,X,X,X,X,X,X,170,51,15289
States,Vermont,2020,52,X,0.912548,X,X,X,X,X,X,24,12,2630
States,Virginia,2020,52,X,1.68998,X,X,X,X,X,X,1525,166,90238
States,Washington,2020,52,X,0.813061,X,X,X,X,X,X,124,47,15251
States,West Virginia,2020,52,X,0.898096,X,X,X,X,X,X,75,49,8351
States,Wisconsin,2020,52,X,0.457483,X,X,X,X,X,X,63,31,13771
States,Wyoming,2020,52,X,0.714286,X,X,X,X,X,X,15,14,2100
States,Commonwealth of the Northern Mariana Islands,2020,52,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2020,52,X,5.74194,X,X,X,X,X,X,89,6,1550
States,Virgin Islands,2020,52,X,4.91803,X,X,X,X,X,X,24,2,488
States,New York City,2020,52,X,1.13255,X,X,X,X,X,X,708,31,62514
States,Alabama,2020,53,X,1.65359,X,X,X,X,X,X,664,94,40155
States,Alaska,2020,53,X,0.504202,X,X,X,X,X,X,15,13,2975
States,Arizona,2020,53,X,1.80917,X,X,X,X,X,X,219,33,12105
States,Arkansas,2020,53,X,1.36598,X,X,X,X,X,X,183,53,13397
States,California,2020,53,X,2.05516,X,X,X,X,X,X,1082,116,52648
States,Colorado,2020,53,X,0.608127,X,X,X,X,X,X,132,66,21706
States,Connecticut,2020,53,X,0.987038,X,X,X,X,X,X,348,72,35257
States,Delaware,2020,53,X,0.935711,X,X,X,X,X,X,85,19,9084
States,District of Columbia,2020,53,X,2.62554,X,X,X,X,X,X,103,4,3923
States,Florida,2020,53,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,53,X,3.05869,X,X,X,X,X,X,1992,91,65126
States,Hawaii,2020,53,X,0.74983,X,X,X,X,X,X,11,18,1467
States,Idaho,2020,53,X,1.04962,X,X,X,X,X,X,99,35,9432
States,Illinois,2020,53,X,0.89392,X,X,X,X,X,X,533,193,59625
States,Indiana,2020,53,X,1.10234,X,X,X,X,X,X,475,108,43090
States,Iowa,2020,53,X,0.699301,X,X,X,X,X,X,14,13,2002
States,Kansas,2020,53,X,1.0733,X,X,X,X,X,X,94,24,8758
States,Kentucky,2020,53,X,1.42963,X,X,X,X,X,X,407,88,28469
States,Louisiana,2020,53,X,1.19335,X,X,X,X,X,X,475,91,39804
States,Maine,2020,53,X,0.474547,X,X,X,X,X,X,55,52,11590
States,Maryland,2020,53,X,1.37985,X,X,X,X,X,X,507,68,36743
States,Massachusetts,2020,53,X,1.09182,X,X,X,X,X,X,571,93,52298
States,Michigan,2020,53,X,0.258782,X,X,X,X,X,X,40,66,15457
States,Minnesota,2020,53,X,0.153898,X,X,X,X,X,X,41,78,26641
States,Mississippi,2020,53,X,2.49385,X,X,X,X,X,X,142,22,5694
States,Missouri,2020,53,X,1.34919,X,X,X,X,X,X,320,49,23718
States,Montana,2020,53,X,0.473518,X,X,X,X,X,X,27,31,5702
States,Nebraska,2020,53,X,1.04635,X,X,X,X,X,X,100,73,9557
States,Nevada,2020,53,X,2.29266,X,X,X,X,X,X,149,25,6499
States,New Hampshire,2020,53,X,0.429799,X,X,X,X,X,X,3,9,698
States,New Jersey,2020,53,X,2.51867,X,X,X,X,X,X,560,33,22234
States,New Mexico,2020,53,X,1.64884,X,X,X,X,X,X,299,46,18134
States,New York,2020,53,X,1.68594,X,X,X,X,X,X,774,125,45909
States,North Carolina,2020,53,X,1.36495,X,X,X,X,X,X,1058,135,77512
States,North Dakota,2020,53,X,1.25881,X,X,X,X,X,X,25,13,1986
States,Ohio,2020,53,X,1.05902,X,X,X,X,X,X,103,38,9726
